spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason,TSN
Colchium autumnale,Colchium autumnale,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,104,1,wfo-0000763824,urn:lsid:ipni.org:names:533232-1,302771,Colchicum autumnale,species,wfo-4000008882,L.,Colchicaceae,,,,Colchicum,,autumnale,,species,Valid,Sp. Pl. : 341 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 1: 341. 1753 [1 May 1753] to Sp. Pl. : 341 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-302",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:533232-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-302771,,FALSE,,,,,42907
Helianthus divicaricatus,Helianthus divicaricatus,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,105,1,wfo-0000044129,urn:lsid:ipni.org:names:329245-2,GCC-878D00B3-C22A-4191-81E3-1A7A7341E08E,Helianthus divaricatus,species,wfo-4000017208,L.,Asteraceae,Asteroideae,Heliantheae,Helianthinae,Helianthus,,divaricatus,,species,Valid,Sp. Pl. : 906 (1753),Accepted,,,NA,"Source in seed data: gcc Update namepublishedIn from 906 1753 to Sp. Pl. : 906 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-14269 >The Plant List v.1.1.",https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1086302,The Asteraceaae TEN,A,gcc-14269,,FALSE,,,,Accepted,36636
Lindernia angallidea,Lindernia angallidea,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,106,1,wfo-0001247408,urn:lsid:ipni.org:names:77225634-1,50141466,Lindernia dubia var. dubia,variety,wfo-0000446478,,Linderniaceae,,,,Lindernia,,dubia,dubia,variety,Valid,Unknown,Accepted,,,NA,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50141466 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-50141466 >The Plant List v.1.0</a>,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77225634-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-50141466,,TRUE,Synonym,wfo-0000446428,Lindernia anagallidea,,528805
Liparis lilifolia,Liparis  lilifolia,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,107,2,wfo-0000228276,urn:lsid:ipni.org:names:1039262-2,112958,Liparis liliifolia,species,wfo-4000021910,(L.) Rich. ex Lindl.,Orchidaceae,,,,Liparis,,liliifolia,,species,Valid,Bot. Reg. 11: t. 882 (1825),Accepted,,wfo-0000258062,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) Rich. ex Lindl. to (L.) A.Rich. ex Lindl., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-1129",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1039262-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-112958,,FALSE,,,,,43622
Liparis loeselii,Liparis  loeselii,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,108,1,wfo-0000228284,urn:lsid:ipni.org:names:641004-1,112965,Liparis loeselii,species,wfo-4000021910,(L.) Rich.,Orchidaceae,,,,Liparis,,loeselii,,species,Valid,De Orchid. Eur. : 38 (1817),Accepted,,wfo-0000258072,NA,"Source in seed data: wcs Update namepublishedIn from De Orchid. Eur. 38 1817 to De Orchid. Eur. : 38 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-112965",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:641004-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-112965,,FALSE,,,,,43623
Marshallia,Marshallia sp.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,109,1,wfo-4000023205,urn:lsid:ipni.org:names:331759-2,urn:lsid:marinespecies.org:taxname:1075710,Marshallia,genus,wfo-4500000537,Schreb.,Asteraceae,Asteroideae,Helenieae,Marshalliinae,Marshallia,,,,genus,Valid,"Gen. Pl., ed. 8[a]. 810. 1791 [May 1791]",Accepted,,,NA,"Source in seed data: TPL1.1 Updated namepublishedin from Unknown : 810 (1791) to Gen. Pl., ed. 8[a]. 810. 1791 [May 1791] , information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/brows",https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1075710,The Asteraceaae TEN,A,,,FALSE,,,,,9579
Polgonella articulata,Polgonella articulata,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,110,1,wfo-0001101001,urn:lsid:ipni.org:names:695266-1,26000814,Polygonella articulata,species,wfo-4000030742,Meisn.,Polygonaceae,,,,Polygonella,,articulata,,species,Valid,Pl. Vasc. Gen. 1: 228 (1839),Accepted,,wfo-0001268273,NA,"Source in seed data: tro Updated scientificnameAuthorship from (L.) Meisn. to Meisn., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26000814 >The Plant List v.1.",http://www.theplantlist.org/tpl1.1/record/tro-26000814,The Caryophyllales TEN -The Caryophyllales Network,A,tro-26000814,,FALSE,,,,,21308
Pontedaria cordata,Pontedaria cordata,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,111,2,wfo-0000500933,urn:lsid:ipni.org:names:283610-2,259449,Pontederia cordata,species,wfo-1000064796,L.,Pontederiaceae,,,,Pontederia,Pontederia,cordata,,species,Valid,Sp. Pl. : 288 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 288 1753 to Sp. Pl. : 288 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-259449 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/kew-259449,The Commelinales TEN,A,kew-259449,,FALSE,,,,Not a synonym,42620
Prenanthes virgatum,Prenanthes virgatum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,112,1,wfo-0001042880,urn:lsid:ipni.org:names:60458063-2,100376081,Nabalus autumnalis,species,wfo-4000025256,(Walter) Weakley,Asteraceae,Cichorioideae,Cichorieae,Crepidinae,Nabalus,,autumnalis,,species,Valid,J. Bot. Res. Inst. Texas 5(2): 439 (2011),Accepted,,,NA,"Source in seed data: tro Update namepublishedIn from J. Bot. Res. Inst. Texas 5(2): 439. 2011 [7 Dec 2011] to J. Bot. Res. Inst. Texas 5(2): 439 (2011), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://w",https://cichorieae.e-taxonomy.net/portal/cdm_dataportal/taxon/d7aee91a-eff7-4a7a-a7d3-8bb08fe24221,The Asteraceaae TEN,A,tro-100376081,,TRUE,Synonym,wfo-0000117949,Prenanthes virgata,,NA
Prunus nigra,Prunus nigra (america?),FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,113,3,wfo-0001013903,urn:lsid:ipni.org:names:730020-1,5910,Prunus nigra,species,wfo-4000031284,Aiton,Rosaceae,,,,Prunus,,nigra,,species,Valid,Hort. Kew.  2: 165 (1789),Accepted,,,NA,"Source in seed data: rjp Update namepublishedIn from Hortus kewensis ; 1789 165 1789 to Hort. Kew. 2: 165 (1789), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-5",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:730020-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-5910,,FALSE,,,,Not a synonym,24796
Raphanus sativus,Raphanus  sativus,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,114,1,wfo-0001217985,urn:lsid:ipni.org:names:77159305-1,4104291,Raphanus raphanistrum subsp. sativus,subspecies,wfo-0000402425,(L.) Domin,Brassicaceae,,,,Raphanus,,raphanistrum,sativus,subspecies,Valid,Beih. Bot. Centralbl. 26(2): 255 (1910),Accepted,,,NA,"Source in seed data: tro Update namepublishedIn from to Beih. Bot. Centralbl. 26(2): 255 (1910), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-4104291 >The Plant",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159305-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-4104291,,TRUE,Synonym,wfo-0000402430,Raphanus sativus,,NA
Roripa officinalis,Roripa officinalis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,115,1,wfo-0000380323,urn:lsid:ipni.org:names:167338-2,519856,Nasturtium officinale,species,wfo-4000025368,R.Br.,Brassicaceae,,,,Nasturtium,,officinale,,species,Valid,Hortus Kew. 4: 110 1812,Accepted,,,NA,Source in seed data: cmp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2381026 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2381026 >The Plant List v.1.0</a>,http://www.theplantlist.org/tpl1.1/record/kew-2381026,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2381026,,TRUE,Synonym,wfo-0001278431,Rorippa officinalis,,23255
Tabacum longiflorum,Tabacum longiflorum,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,FALSE,,,,,53
Trapa natas,Trapa natas,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,117,1,wfo-0000458183,urn:lsid:ipni.org:names:614405-1,655497,Trapa natans,species,wfo-4000038786,L.,Lythraceae,,,,Trapa,,natans,,species,Valid,Sp. Pl. : 120 (1753),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 120 1753 to Sp. Pl. : 120 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2519351 >The Plant L",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:614405-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2519351,,FALSE,,,,,27170
Xanthoxylum americanum,Xanthoxylum americanum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,118,1,wfo-0001132898,urn:lsid:ipni.org:names:775568-1,28100527,Zanthoxylum americanum,species,wfo-4000041155,Mill.,Rutaceae,,,,Zanthoxylum,,americanum,,species,Valid,Gard. Dict. ed. 8 : n.º 2 (1768),Accepted,,,NA,"Source in seed data: tro Update namepublishedIn from Gard. Dict. (ed. 8) no. 2 1768 to Gard. Dict. ed. 8 : n.º 2 (1768), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/reco",http://www.theplantlist.org/tpl1.1/record/tro-28100527,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-28100527,,FALSE,,,,,505788
