Scientific_name,TSN
Polypodium vulgare,519460
Pteretis pensylanica,NA
Pteris aquilina,184021
Riccia fluitans,15633
Thuya occidentalis,NA
Tsuga canadensis,183397
Woodsia ilvensis,17741
Woodsia obtusa,17744
Woodwardia virginica,17751
Abutilon theophrasti,21674
Acnida altissima,508315
Acnida cannabina,20717
Agrimonia grypsosepala,NA
Agrimonia striata,25101
Alisma subcordatum,38895
Amelanchier laevis,182046
Amelanchier stolonifera,182050
Ampelopsis brevipunculata,NA
Anemone canadensis,18436
Antennaria fallax,36729
Antennaria neglecta,36745
Antennaria neodioica,185077
Antennaria parlinii,185167
Antennaria plantaginifolia,36717
Apocynum medium,30159
Arceuthobium pusillium,NA
Arctium nemerosum,NA
Arisaema stewardsonii,185361
Artemisia frigida,35465
Artemisia ludoviciana,35474
Artemisia tridentata,35498
Asclepias amplexicaulis,30244
Asclepias exaltata,30266
Asclepias purpurescens,NA
Asclepias speciosa,30304
Asclepias verticillata,30320
Aster pilosus,35630
Aster sagitifolius,NA
Bartonia paniculata,30020
Bidens artistosa,NA
Bidens comosa,35717
Bidens discoidea,35719
Brassica nigra,23061
Cabomba caroliniana,18408
Campanula trachelium,34501
Campsis radicans,34309
Catalpa speciosa,34315
Centaurea cyanus,36954
Centaurium umbellatum,30040
Cerastium nutans,19958
Chenopodium ambrosioides,20590
Chenopodium boscianum,510806
Chenopodium hybridum,20639
Chenopodium lanceolatum,510812
Chenopodium paganum,510818
Chenopodium rubrum,20630
Chimaphila maculata,23767
Chryosplenium americanum,NA
Circaea alpina,27563
Cleome spinosa,22629
Colchium autumnale,NA
Convolvulus pellitus,511328
Coreopsis lanceolata,37139
Crataegus holmesiana,501711
Crataegus succulenta,24604
Cucurbita pepo,22373
Cuscuta compacta,30725
Cuscuta polygonorum,30747
Datura stramonium,30520
Desmodium canescens,25792
Desmodium ciliare,25793
Desmodium cuspidatum,25795
Desmodium glutinosum,25800
Desmodium paniculatum,25815
Dianthus deltoides,20278
Dicentra cucullaria,18945
Dipsacus sylvestris,35406
Doronicum pardalianches,502109
Euonymus alatus,27946
Euonymus europaeus,27949
Eupatorium fistulosum,502509
Eupatorium pilosum,35997
Eupatorium serotinum,35981
Euphorbia esula,28064
Froelichia gracilis,20800
Galium obtusum,34802
Galium tinctorium,34803
